year	month	day	opponent	playoffs	seed	opponent_seed	home_away	postponed	resched_month	resched_day	outcome	forfeit	runs_scored	runs_allowed	note
2016	8	31	bandITS	y	2	3	h								
2016	8	10	bandITS				a				w		12	6	doubleheader, game 2
2016	8	10	bandITS				a				w		8	2	doubleheader, game 1
2016	8	4	Sudden Impact				h				w	y	7	0	
2016	7	27	Ochos				h				w		9	6	
2016	7	20	Loose Cannons				h				l		3	14	
2016	7	6	Toxic Waste				a				l		21	22	
2016	6	30	Corn Wallaces				a				w		21	8	5 innings, mercy rule
2016	6	22	Toxic Waste				a	y	7	6					field maintenance
2016	6	8	PHRD Sox				h				w		19	7	6 innings, mercy rule
2016	6	6	bandITS				h	y	8	10					rain
2016	5	24	Sudden Impact				a				w		22	6	6 innings, mercy rule
2016	5	17	bandITS				h	y	6	6					rain
2016	5	10	Ochos				a				w		12	10	8 innings
2015	9	23	Loose Cannons	y	2	1	a				l		9	18	
2015	9	17	Chuck Norris All-Stars	y	2	4	h				l		18	20	
2015	9	10	Corn Wallaces	y	2	3	h				w	y	7	0	
2015	8	25	Loose Cannons				a				l		11	12	
2015	8	18	Chuck Norris All-Stars				h				w		21	16	
2015	8	5	PHRD Sox				h				w		23	0	4 innings, mercy rule
2015	7	30	Corn Wallaces				a				w		21	4	4 innings, mercy rule
2015	7	23	Toxic Waste				h				w		13	0	5 innings, mercy rule
2015	7	15	Ochos				a				w		15	7	
2015	7	9	Loose Cannons				h				l		2	9	
2015	6	25	Chuck Norris All-Stars				a				w		20	14	
2015	6	10	PHRD Sox				a				w		25	7	5 innings, mercy rule
2015	6	2	Corn Wallaces				h				w		15	7	
2015	5	19	Toxic Waste				a				l		18	19	
2015	5	13	Ochos				h				w		19	7	5 innings, mercy rule
2014	9	16	Toxic Waste	y	4	3	a				l		10	22	
2014	9	10	PHRD Sox	y	4	6	h				w		22	11	
2014	9	9	PHRD Sox	y	4	6	h	y	9	10					rain
2014	9	8	PHRD Sox	y	4	6	h	y	9	9					rain
2014	9	4	PHRD Sox	y	4	6	h	y	9	8					rain
2014	8	28	Chuck Norris All-Stars	y	4	1	a				l		9	13	
2014	8	26	Corn Wallaces	y	4	5	h				w		11	6	
2014	8	14	Toxic Waste				h				w		21	9	
2014	8	6	PHRD Sox				h				w		30	4	5 innings, mercy rule
2014	8	1	Toxic Waste				h	y	8	14					rain
2014	7	31	Loose Cannons				a				l		6	12	
2014	7	28	Corn Wallaces				a				l		12	14	
2014	7	23	Chuck Norris All-Stars				h				l		10	24	
2014	7	21	Toxic Waste				h	y	8	1					rain
2014	7	15	Toxic Waste				h	y	7	21					rain
2014	7	9	Corn Wallaces				a	y	7	28					lightning
2014	6	24	PHRD Sox				a				w		23	11	
2014	6	18	Loose Cannons				h				w		21	1	6 innings, mercy rule
2014	6	10	Chuck Norris All-Stars				a				l		11	23	
2014	6	5	Toxic Waste				a				l		8	14	
2014	5	21	Corn Wallaces				h				w		13	12	
2013	8	20	Toxic Waste	y	5	2	a				l		10	14	
2013	8	13	Corn Wallaces	y	5	4	a				l		10	11	
2013	8	7	Loose Cannons				a				l		3	22	
2013	8	1	Chuck Norris All-Stars				h				l		10	20	
2013	7	24	Corn Wallaces				a				w		17	14	
2013	7	10	Toxic Waste				h				l		8	16	
2013	6	26	Loose Cannons				h				l		3	17	
2013	6	20	Chuck Norris All-Stars				a				l		11	18	
2013	6	12	Corn Wallaces				h				l		7	10	
2013	5	22	Toxic Waste				a				l		8	14	
2012	9	11	Loose Cannons	y	3	1	a				l		7	26	
2012	8	30	Field Surveyors	y	3	5	h				w	y	7	0	
2012	8	28	Toxic Waste	y	3	2	a				l		5	22	
2012	8	16	Toxic Waste				a				w		11	10	
2012	8	7	Loose Cannons				h				l		16	25	8 innings
2012	8	6	Field Surveyors				h				w		21	12	
2012	8	1	Toxic Waste				a				l		7	16	
2012	7	26	Field Surveyors				h	y	8	6					heat
2012	7	24	Chuck Norris All-Stars				h				l		5	17	
2012	7	19	Field Surveyors				a				w		10	2	6 innings, lightning
2012	7	12	Toxic Waste				h				l		7	16	
2012	6	26	Loose Cannons				a				l		6	25	
2012	6	20	Hit Squad				h				w	y	7	0	
2012	6	18	Chuck Norris All-Stars				a				w		20	4	
2012	6	12	Chuck Norris All-Stars				a	y	6	18					rain
2012	6	7	Field Surveyors				h				w		15	9	
2011	9	15	Loose Cannons	y	7	3	a				l		8	15	
2011	9	14	Mixed Nutz	y	7	2	a				l		9	11	
2011	8	18	Hit Squad				a				l		9	19	
2011	8	9	Mixed Nutz				h				l		6	19	
2011	8	4	Chuck Norris All-Stars				h				w		9	7	
2011	7	27	Toxic Waste				a				l		12	15	
2011	7	25	Diamondbacks				h				w	y	7	0	game 1
2011	7	25	Diamondbacks				h				w	y	7	0	game 2
2011	7	20	Diamondbacks				h	y	7	25					heat
2011	7	20	Diamondbacks				h	y	7	25					heat
2011	7	18	Loose Cannons				a				l		11	16	
2011	7	12	Loose Cannons				a	y	7	18					heat
2011	6	23	Hit Squad				h				l		10	16	
2011	6	14	Mixed Nutz				a				l		6	18	
2011	6	9	Chuck Norris All-Stars				a				l		7	15	
2011	5	25	Toxic Waste				h				w		12	10	
2011	5	18	Diamondbacks				a	y	7	20					rain
2011	5	10	Loose Cannons				h				l		22	30	
2010	9	13	Chuck Norris All-Stars	y	7	6	a				l		12	13	
2010	9	9	Hit Squad	y	7	2	a				l		6	9	
2010	8	25	Loose Cannons				a				l		6	14	
2010	8	18	Diamondbacks				h				l		9	19	
2010	8	4	Hit Squad				h				l		5	18	6 innings, mercy rule
2010	7	26	Mixed Nutz				a				l		8	17	
2010	7	21	Chuck Norris All-Stars				a				l		15	16	
2010	7	13	Toxic Waste				h				w		11	7	
2010	6	29	Diamondbacks				a				l		5	6	
2010	6	21	Loose Cannons				h				l		4	5	
2009	10	20	Mixed Nutz				h				w		15	12	
2009	10	15	Mixed Nutz				h	y	10	20					rain
2009	10	13	Inferno				a				w		17	14	
2009	10	6	Mixed Nutz				h	y	10	15					rain
2009	9	28	Chuck Norris All-Stars				a				l	y	0	7	
2009	9	23	Inferno				a	y	10	13					rain
2009	9	16	Mixed Nutz				a				l		12	13	
2009	8	31	Diamondbacks				h				l		10	18	
2009	8	26	Loose Cannons				a				l		3	14	
2009	8	20	S.O.P.				a				w		21	9	
2009	8	10	Toxic Waste				h				w		9	7	
2009	8	6	Chuck Norris All-Stars				a	y	9	28					rain
2009	7	29	Inferno				h				w		14	13	
2009	7	20	Mixed Nutz				h	y	10	6					rain
2009	7	14	Diamondbacks				a				l		23	24	8 innings
2007	9	5	Toxic Waste	y	6	5	a				l		3	29	
2007	8	30	Loose Cannons	y	6	2	a				l		15	16	
2007	8	23	Chuck Norris All-Stars	y	6	3	a				w		11	6	
2007	7	31	Diamondbacks				a				l		3	8	
2007	7	26	Inferno				h				w		18	4	
2007	7	18	Loose Cannons				h				l		7	18	
2007	7	16	Chuck Norris All-Stars				a				l		7	15	
2007	7	10	Chuck Norris All-Stars				a	y	7	16					lightning
2007	6	27	Cretins				h				l		10	20	
2007	6	14	Toxic Waste				a				l		12	19	
2007	6	6	Diamondbacks				h				l		1	19	
2007	5	31	Inferno				a				l		11	13	
2007	5	22	Loose Cannons				a				l		11	15	
2007	5	16	Chuck Norris All-Stars				h				l		7	15	
2006	9	20	Loose Cannons	y	4	3	a				l		8	12	
2006	9	18	Capitalist Pigs	y	4	5	h				w	y	7	0	
2006	9	7	Cretins	y	4	2	a				w		9	5	
2006	8	29	Diamondbacks	y	4	1	a				l		3	12	
2006	8	23	Capitalist Pigs	y	4	5	h				w		19	7	
2006	8	16	Diamondbacks				a				w		12	7	
2006	8	8	Cretins				h				l		2	5	
2006	8	3	Diamondbacks				a	y	8	16					heat
2006	7	27	Loose Cannons				a				l		11	14	
2006	7	13	Toxic Waste				h				w		19	10	
2006	6	28	Capitalist Pigs				h				l		6	7	
2006	6	20	Inferno				a				w		28	4	
2006	6	19	Cretins				a				l		6	12	
2006	6	14	Cretins				a	y	6	19					rain
2006	6	6	Diamondbacks				h				l		8	12	
2006	5	30	Loose Cannons				h				w		17	6	
2006	5	17	Toxic Waste				a				w		12	6	
2005	8	17	Inferno	y	5	8	h				l		12	15	
2005	8	11	Cretins	y	5	4	a				l		4	8	
2005	8	1	Toxic Waste				h				l		4	20	
2005	7	28	Cretins				a				w		20	15	
2005	7	20	Loose Cannons				h				l		6	17	
2005	7	13	Swingers				a				w		20	14	
2005	7	6	Inferno				a				w		17	11	
2005	6	28	Toxic Waste				h	y	8	1					rain
2005	6	21	Capitalist Pigs				a				l		8	9	
2005	6	15	Diamondbacks				h				l		1	7	
2005	6	7	Inferno				a	y	7	6					lightning
2005	5	26	Cretins				h				l		8	29	
2005	5	19	Loose Cannons				a				w		17	15	
2005	5	11	Swingers				h				w		11	10	
2004	8	24	Toxic Waste	y	4	3	a				l		7	38	
2004	8	17	Swingers	y	4	5	h				l		5	9	
2004	8	4	Diamondbacks				a				l		6	18	
2004	7	27	Diamondbacks				a	y	8	4					rain
2004	7	19	Toxic Waste				h				l		3	22	
2004	7	12	Toxic Waste				h	y	7	19					sidewalk construction
2004	7	7	Loose Cannons				h				w		15	13	
2004	7	1	Outkasts				a				w		16	11	
2004	6	23	Loose Cannons				h	y	7	7					rain
2004	6	17	Capitalist Pigs				a				l		16	17	
2004	6	8	Cretins				a				w		16	8	
2004	6	1	Outkasts				h				w		18	5	
2004	5	25	Swingers				h				w		28	14	
2004	5	17	Diamondbacks				h				l		3	7	
2004	5	13	Toxic Waste				a				l		10	19	
2004	5	3	Outkasts				h	y	6	1					rain
2003	8	18	Loose Cannons	y	5		a				l		3	19	
2003	8	13	Cretins	y	5		a				l		7	15	
2003	8	6	Loose Cannons	y	5		a				w		34	18	
2003	8	4	Capitalist Pigs	y	5		a				w		12	7	
2003	7	28	Swingers				h				w		17	14	
2003	7	22	Free Radicals				h				l		13	19	
2003	7	15	Loose Cannons				a				w		18	13	
2003	7	9	Swingers				h	y	7	28					lightning
2003	6	23	Cretins				a				w		5	4	
2003	6	19	Free Radicals				h	y	7	22					rain
2003	6	9	Toxic Waste				a				l		8	10	
2003	6	4	Capitalist Pigs				h				l		9	13	
2003	5	27	Swingers				a				w		5	4	
2003	5	20	Diamondbacks				a				w		15	10	
2003	5	15	Loose Cannons				h				l		7	16	
2003	5	6	Swingers				a	y	5	27					rain
2003	4	30	Cretins				h				l		3	15	
2002	9	23	Cretins	y	4						l		8	25	
2002	9	18	Toxic Waste	y	4						l		14	21	
2002	9	10	Cretins	y	4						w		24	15	
2002	8	22	Toxic Waste								l		2	21	
2002	8	14	Cretins								w		18	10	
2002	8	5	Free Radicals								w	y	7	0	
2002	7	31	Institute All-Stars								l		5	17	
2002	7	22	Disclaimers								l		7	8	
2002	7	16	Capitalist Pigs								l		8	12	
2002	7	10	Diamondbacks								l		10	15	rain-shortened
2002	6	27	Toxic Waste								l		5	18	
2002	6	19	Cretins								w		13	10	
2002	6	10	Free Radicals								w		21	2	
2002	6	5	Institute All-Stars								w	y	7	0	
2002	5	20	Disclaimers								l		8	13	
2002	5	13	Capitalist Pigs								w		18	12	
2002	5	8	Diamondbacks								w		10	7	
2001	8	29	Capitalist Pigs	y	6						l		6	16	
2001	8	27	Toxic Waste	y	6						l		7	17	
2001	8	21	Free Radicals	y	6						w		19	6	
2001	8	14	Cretins								l		12	19	
2001	8	8	Cretins								l		8	15	
2001	8	1	Free Radicals								w		18	5	
2001	7	26	Toxic Waste								l	y	0	7	
2001	7	9	Disclaimers								l		7	12	
2001	6	28	Capitalist Pigs								l		5	19	
2001	6	19	Diamondbacks								l		11	18	
2001	6	6	Free Radicals								l		8	9	
2001	5	15	Disclaimers								l		6	13	
2001	5	9	Capitalist Pigs								l		9	13	
2001	5	1	Diamondbacks								l		5	38	
2001	4	26	Toxic Waste								l		6	18	
